typology_2000,typology_2010,n_locations
high_excess_not_high_observed,high_excess_not_high_observed,20
high_excess_not_high_observed,high_observed_high_excess,4
high_excess_not_high_observed,not_high_observed_or_excess,1
high_observed_high_excess,high_excess_not_high_observed,4
high_observed_high_excess,high_observed_high_excess,25
high_observed_high_excess,high_observed_not_high_excess,10
high_observed_high_excess,not_high_observed_or_excess,4
high_observed_not_high_excess,high_observed_high_excess,1
high_observed_not_high_excess,high_observed_not_high_excess,23
high_observed_not_high_excess,not_high_observed_or_excess,1
not_high_observed_or_excess,high_excess_not_high_observed,12
not_high_observed_or_excess,high_observed_high_excess,2
not_high_observed_or_excess,high_observed_not_high_excess,3
not_high_observed_or_excess,not_high_observed_or_excess,93
