age_group,age_label,model_id,validation,folds,rmse_rate_mean,mae_rate_mean,mape_rate_mean,spearman_obs_expected_rate_mean,mean_bias_rate_mean
5_69,5-69 years,B0_sdi_spline_year_fe,country_heldout,5,1501.1771221003914,780.2693472942219,58.963530476429966,0.6863209425427113,-293.16605892449206
70p,70+ years,B0_sdi_spline_year_fe,country_heldout,5,8668.077431912709,6259.111368424359,48.4393731513219,0.7693320229656553,-1854.6266067234258
total,All ages,B0_sdi_spline_year_fe,country_heldout,5,1276.6062180911103,905.0380363193051,31.152620922321923,0.8473262633050945,-196.73616818181546
u5,Under 5 years,B0_sdi_spline_year_fe,country_heldout,5,4187.68675835978,2982.52773914064,42.30610811225486,0.869325195816159,-777.3383089713941
