typology_2023,transition_path,n_locations,"Household energy adverse z, 2000","Household energy adverse z, 2023","Household energy adverse z change, 2023-2000","WASH adverse z, 2000","WASH adverse z, 2023","WASH adverse z change, 2023-2000","Immunisation/UHC adverse z, 2000","Immunisation/UHC adverse z, 2023","Immunisation/UHC adverse z change, 2023-2000","HIV/TB adverse z, 2000","HIV/TB adverse z, 2023","HIV/TB adverse z change, 2023-2000","Nutrition adverse z, 2000","Nutrition adverse z, 2023","Nutrition adverse z change, 2023-2000","Health resources adverse z, 2000","Health resources adverse z, 2023","Health resources adverse z change, 2023-2000","Ambient PM2.5 adverse z, 2000","Ambient PM2.5 adverse z, 2023","Ambient PM2.5 adverse z change, 2023-2000"
high_observed_high_excess,2000 high observed + high excess -> High observed + high excess,12,-0.28165159717260346,-0.3153255051964088,-0.03367390802380532,-0.10409846661427427,0.14620739385450782,0.2503058604687821,0.04591449889701441,-0.182466917620029,-0.2283814165170434,0.4289841055845423,0.6849510510106404,0.25596694542609805,-0.43979122867977694,0.13051092904185546,0.5703021577216324,-0.4026434748949291,-0.1868397928795593,0.21580368201536979,0.4691578791917182,0.4697414715109927,0.0005835923192745174
high_observed_not_high_excess,"2000 high observed + high excess -> High observed, not high excess",18,0.6178936851794867,0.2991326917390533,-0.3187609934404334,0.436246663402664,0.0658611054238299,-0.3703855579788341,0.332901278130858,0.05372802720053793,-0.2791732509303201,0.2507853716286496,-0.036292161906302606,-0.28707753353495225,0.47860194412193435,-0.017248304600662623,-0.495850248722597,0.43043859448021116,0.17148586793856294,-0.25895272654164825,0.038086142531399324,0.014905284909341268,-0.023180857622058057
high_excess_not_high_observed,"2000 high observed + high excess -> High excess, not high observed",6,-0.36000915864283006,-0.06020840495564206,0.299800753687188,0.14370821124808258,0.05892599589484578,-0.0847822153532368,0.05882878616992298,0.8975256451296177,0.8386968589596948,-0.3742722569284775,-0.11934714969403155,0.25492510723444595,-0.1663329296018808,0.3886221234575185,0.5549550530593993,-0.6814688428620119,0.417278572125203,1.098747414987215,0.43635947697363675,0.6449174629762758,0.20855798600263908
not_high_observed_or_excess,2000 high observed + high excess -> Neither,7,-0.6268902450523682,-0.279204575579717,0.3476856694726512,0.10676451119661926,0.4873345083059005,0.3805699971092813,0.154853086786855,0.6674764080106541,0.5126233212237992,-0.059906927067118344,0.4065598548914036,0.466466781958522,-0.24032485035421625,-0.1808235500932598,0.05950130026095646,0.2139367021929879,0.43840444605826084,0.22446774386527293,0.4875587209097598,0.49809797178237325,0.010539250872613426
