domain,number_of_locations,percentage
Household energy/HAP,43,21.182266009852217
Immunisation/UHC,36,17.733990147783253
Health resources,29,14.285714285714285
WASH,27,13.30049261083744
Ambient PM2.5,23,11.330049261083744
HIV/TB,20,9.852216748768473
Climate/transmission,17,8.374384236453201
No positive contextual lag,7,3.4482758620689653
Nutrition,1,0.49261083743842365
