profile,number_of_locations,observed_mean,expected_mean,excess_mean,sdi_mean,hap_pm_mean,clean_cooking_mean,uhc_mean
Double-high,23,9936.319681302992,6279.609741471212,3656.70993983178,0.6544070022608696,104.3316380903796,70.78947368421052,66.85714285714286
Structural high,45,9746.367088106683,13078.245167136947,-3331.878079030266,0.4395515516666667,258.83640016301774,20.163333333333334,48.48888888888889
Excess-only,45,5021.197839104894,2895.8184657260613,2125.379373378833,0.777120665888889,32.45797616877614,94.30555555555556,76.97368421052632
Neither,90,3164.6427697768895,4670.508221755931,-1505.865451979042,0.7243211386777778,71.24168113002943,84.41685393258427,75.02247191011236
