profile_2023,number_of_locations,observed_decline_mean,expected_decline_mean,residual_excess_decline_mean,residual_share_of_observed_decline
Double-high,12,11025.782833333333,6195.024166666666,4830.758583333333,0.4381329340832746
Structural high,18,15986.387611111111,5982.540499999999,10003.846944444444,0.6257728254688015
Excess-only,6,13099.970833333333,5864.9395,7235.031166666667,0.5522936851322506
Neither,7,12757.072428571428,6983.9317142857135,5773.140571428571,0.4525443124786792
