iso3,location_name,profile_2000,profile_2023,transition_pathway,Stable 2023 profile from,"High-observed years, 2000-2023","High-excess years, 2000-2023",sdi_2000,sdi_2023,sdi_change,observed_2000,observed_2023,observed_decline,expected_2000,expected_2023,expected_decline,excess_2000,excess_2023,residual_excess_decline,Household energy/HAP_delta_z,Ambient PM2.5_delta_z,Climate/transmission_delta_z,WASH_delta_z,Immunisation/UHC_delta_z,HIV/TB_delta_z,Nutrition_delta_z,Health resources_delta_z,Residual-vs-benchmark change pattern,Largest relative lag domains,Largest relative catch-up domains,included_in_full_transition,included_in_2000_double_high_cohort,residual_share_of_observed_decline
TLS,Timor-Leste,Double-high,Double-high,Double-high -> Double-high,2019,24,13,0.354,0.485,0.131,29322.394,13821.335,15501.059,17891.745,11788.407,6103.338,11430.649,2032.927,9397.721,-0.633,-0.238,-0.077,,-0.497,1.198,,,residual compression exceeded benchmark decline,HIV/TB +1.20,Household energy/HAP -0.63; Immunisation/UHC -0.50; Ambient PM2.5 -0.24,1,1,0.6062631591815759
AFG,Afghanistan,Double-high,Structural high,Double-high -> Structural high,2015,24,15,0.182,0.334,0.151,26013.606,11865.475,14148.131,22191.422,16460.215,5731.207,3822.184,-4594.739,8416.924,-1.035,-0.704,-0.364,-1.474,-0.065,0.282,,,residual compression exceeded benchmark decline,HIV/TB +0.28,WASH -1.47; Household energy/HAP -1.04; Ambient PM2.5 -0.70,1,1,0.594914197500716
BGD,Bangladesh,Double-high,Structural high,Double-high -> Structural high,2015,24,15,0.31,0.517,0.207,30062.613,9008.645,21053.968,19184.609,10651.879,8532.73,10878.004,-1643.234,12521.238,-1.416,0.301,0.161,-0.89,-1.199,0.248,,-0.977,residual compression exceeded benchmark decline,Ambient PM2.5 +0.30; HIV/TB +0.25; Climate/transmission +0.16,Household energy/HAP -1.42; Immunisation/UHC -1.20; Health resources -0.98,1,1,0.5947210521076122
BDI,Burundi,Double-high,Structural high,Double-high -> Structural high,2016,24,16,0.227,0.307,0.08,29032.038,12220.577,16811.461,21246.268,17133.858,4112.41,7785.769,-4913.281,12699.051,0.218,-0.198,0.285,0.038,-0.72,-0.409,-0.486,-0.11,residual compression exceeded benchmark decline,Climate/transmission +0.28; Household energy/HAP +0.22; WASH +0.04,Immunisation/UHC -0.72; Nutrition -0.49; HIV/TB -0.41,1,1,0.755380570433468
KHM,Cambodia,Double-high,Structural high,Double-high -> Structural high,2017,24,17,0.346,0.5,0.154,34769.105,9435.177,25333.927,18135.778,11252.874,6882.904,16633.327,-1817.697,18451.024,-2.167,-0.49,0.187,-1.888,-1.158,-0.406,,-1.463,residual compression exceeded benchmark decline,Climate/transmission +0.19,Household energy/HAP -2.17; WASH -1.89; Health resources -1.46,1,1,0.7283128273007182
CAF,Central African Republic,Double-high,Structural high,Double-high -> Structural high,2009,24,9,0.224,0.259,0.035,27451.697,15119.463,12332.234,21313.168,18240.463,3072.706,6138.528,-3121.0,9259.528,0.253,0.04,-0.028,1.42,0.924,0.039,,-0.285,residual compression exceeded benchmark decline,WASH +1.42; Immunisation/UHC +0.92; Household energy/HAP +0.25,Health resources -0.29; Climate/transmission -0.03,1,1,0.7508394667178713
COM,Comoros,Double-high,Structural high,Double-high -> Structural high,2007,24,7,0.348,0.479,0.131,21853.29,9546.501,12306.789,18072.493,11989.441,6083.052,3780.796,-2442.94,6223.737,-0.251,-0.116,0.08,-0.389,0.284,-0.207,,-0.782,residual compression exceeded benchmark decline,Immunisation/UHC +0.28; Climate/transmission +0.08,Health resources -0.78; WASH -0.39; Household energy/HAP -0.25,1,1,0.5057157476251523
PRK,Democratic People's Republic of Korea,Double-high,Structural high,Double-high -> Structural high,2017,24,17,0.5,0.577,0.077,17985.881,8652.75,9333.131,12650.229,8548.221,4102.008,5335.652,104.529,5231.122,1.377,0.349,0.495,1.125,-0.05,,,,residual compression exceeded benchmark decline,Household energy/HAP +1.38; WASH +1.13; Climate/transmission +0.49,Immunisation/UHC -0.05,1,1,0.5604895077546861
COD,Democratic Republic of the Congo,Double-high,Structural high,Double-high -> Structural high,2010,24,10,0.266,0.395,0.129,25701.487,10276.84,15424.647,20349.285,14715.099,5634.186,5352.202,-4438.259,9790.461,-0.037,-0.105,-0.084,0.969,-0.054,0.233,,0.594,residual compression exceeded benchmark decline,WASH +0.97; Health resources +0.59; HIV/TB +0.23,Ambient PM2.5 -0.10; Climate/transmission -0.08; Immunisation/UHC -0.05,1,1,0.6347283668793198
ERI,Eritrea,Double-high,Structural high,Double-high -> Structural high,2017,24,17,0.321,0.415,0.094,28286.38,13199.151,15087.229,18883.383,14113.091,4770.292,9402.997,-913.94,10316.937,-0.072,-0.419,0.005,,-0.757,-1.7,,0.341,residual compression exceeded benchmark decline,Health resources +0.34; Climate/transmission +0.01,HIV/TB -1.70; Immunisation/UHC -0.76; Ambient PM2.5 -0.42,1,1,0.6838192089481773
SWZ,Eswatini,Double-high,Structural high,Double-high -> Structural high,2023,21,18,0.476,0.607,0.131,18613.118,7333.212,11279.906,13584.074,7527.384,6056.689,5029.044,-194.172,5223.217,0.374,0.349,-0.2,0.778,0.222,-0.716,,0.812,residual compression lagged benchmark decline,Health resources +0.81; WASH +0.78; Household energy/HAP +0.37,HIV/TB -0.72; Climate/transmission -0.20,1,1,0.46305501127403004
ETH,Ethiopia,Double-high,Structural high,Double-high -> Structural high,2004,24,4,0.167,0.394,0.226,27233.81,8832.146,18401.664,22488.819,14755.683,7733.136,4744.99,-5923.537,10668.528,-0.679,0.103,-0.086,-0.31,-0.519,-0.512,,-0.094,residual compression exceeded benchmark decline,Ambient PM2.5 +0.10,Household energy/HAP -0.68; Immunisation/UHC -0.52; HIV/TB -0.51,1,1,0.5797588739800922
HTI,Haiti,Double-high,Structural high,Double-high -> Structural high,2004,24,4,0.373,0.464,0.091,20674.79,8949.676,11725.114,17289.366,12498.1,4791.266,3385.424,-3548.423,6933.847,0.033,-0.03,0.233,-0.218,0.535,-0.317,-0.012,0.065,residual compression exceeded benchmark decline,Immunisation/UHC +0.53; Climate/transmission +0.23; Health resources +0.07,HIV/TB -0.32; WASH -0.22; Ambient PM2.5 -0.03,1,1,0.5913671287119255
MDG,Madagascar,Double-high,Structural high,Double-high -> Structural high,2002,24,2,0.273,0.38,0.107,23638.481,10880.437,12758.044,20156.579,15167.663,4988.915,3481.902,-4287.226,7769.128,0.079,0.064,-0.037,-0.022,0.166,0.305,,0.649,residual compression exceeded benchmark decline,Health resources +0.65; HIV/TB +0.31; Immunisation/UHC +0.17,Climate/transmission -0.04; WASH -0.02,1,1,0.6089591790089453
MWI,Malawi,Double-high,Structural high,Double-high -> Structural high,2012,24,12,0.243,0.41,0.167,26710.124,8843.573,17866.551,20890.342,14270.127,6620.215,5819.782,-5426.554,11246.336,0.028,-0.139,-0.293,-0.854,-0.979,-0.784,,0.091,residual compression exceeded benchmark decline,Health resources +0.09; Household energy/HAP +0.03,Immunisation/UHC -0.98; WASH -0.85; HIV/TB -0.78,1,1,0.6294631795470765
NPL,Nepal,Double-high,Structural high,Double-high -> Structural high,2010,24,10,0.279,0.471,0.192,27934.631,8423.686,19510.946,20003.363,12252.894,7750.469,7931.268,-3829.208,11760.476,-1.381,0.702,0.148,-1.599,-1.37,0.026,,-2.863,residual compression exceeded benchmark decline,Ambient PM2.5 +0.70; Climate/transmission +0.15; HIV/TB +0.03,Health resources -2.86; WASH -1.60; Household energy/HAP -1.38,1,1,0.6027629823792245
RWA,Rwanda,Double-high,Structural high,Double-high -> Structural high,2015,24,15,0.288,0.462,0.174,32504.826,10106.528,22398.298,19791.183,12555.015,7236.168,12713.643,-2448.486,15162.13,-0.593,-0.141,0.229,-0.695,-1.199,-0.462,,-0.16,residual compression exceeded benchmark decline,Climate/transmission +0.23,Immunisation/UHC -1.20; WASH -0.70; Household energy/HAP -0.59,1,1,0.6769322383334663
TZA,United Republic of Tanzania,Double-high,Structural high,Double-high -> Structural high,2021,24,21,0.294,0.466,0.172,26250.108,10169.994,16080.114,19637.432,12427.099,7210.333,6612.676,-2257.105,8869.781,-0.673,-0.024,0.047,-0.944,-0.586,-0.279,,-0.017,residual compression exceeded benchmark decline,Climate/transmission +0.05,WASH -0.94; Household energy/HAP -0.67; Immunisation/UHC -0.59,1,1,0.5515993854272427
YEM,Yemen,Double-high,Structural high,Double-high -> Structural high,2021,24,21,0.3,0.446,0.146,27375.352,11472.529,15902.823,19458.486,13081.444,6377.043,7916.866,-1608.915,9525.78,0.204,0.04,-0.388,-0.872,1.501,-0.22,,0.098,residual compression exceeded benchmark decline,Immunisation/UHC +1.50; Household energy/HAP +0.20; Health resources +0.10,WASH -0.87; Climate/transmission -0.39; HIV/TB -0.22,1,1,0.5989993097451943
AZE,Azerbaijan,Double-high,Excess-only,Double-high -> Excess-only,2003,3,24,0.586,0.705,0.119,16216.392,5733.446,10482.946,9258.731,4481.01,4777.721,6957.661,1252.436,5705.225,-1.256,0.712,-0.08,-1.664,0.685,-0.137,-0.58,1.723,residual compression exceeded benchmark decline,Health resources +1.72; Ambient PM2.5 +0.71; Immunisation/UHC +0.69,WASH -1.66; Household energy/HAP -1.26; Nutrition -0.58,1,1,0.5442387092330725
BRA,Brazil,Double-high,Excess-only,Double-high -> Excess-only,2021,10,21,0.568,0.684,0.116,28337.273,6194.341,22142.932,9981.94,5088.642,4893.299,18355.333,1105.699,17249.633,0.429,-0.824,-0.175,-0.397,0.794,0.124,,-0.409,residual compression exceeded benchmark decline,Immunisation/UHC +0.79; Household energy/HAP +0.43; HIV/TB +0.12,Ambient PM2.5 -0.82; Health resources -0.41; WASH -0.40,1,1,0.7790130503042687
CHN,China,Double-high,Excess-only,Double-high -> Excess-only,2021,1,10,0.552,0.728,0.175,16280.635,4658.016,11622.619,10582.443,3886.511,6695.933,5698.192,771.506,4926.686,-0.913,-0.799,0.162,-0.627,1.553,1.441,,0.093,residual compression lagged benchmark decline,Immunisation/UHC +1.55; HIV/TB +1.44; Climate/transmission +0.16,Household energy/HAP -0.91; Ambient PM2.5 -0.80; WASH -0.63,1,1,0.42388776574367615
IRQ,Iraq,Double-high,Excess-only,Double-high -> Excess-only,2021,21,24,0.477,0.654,0.176,18895.101,6854.637,12040.465,13533.979,6001.556,7532.423,5361.122,853.08,4508.042,0.945,0.754,0.197,0.264,0.675,-0.014,,,residual compression lagged benchmark decline,Household energy/HAP +0.95; Ambient PM2.5 +0.75; Immunisation/UHC +0.67,HIV/TB -0.01,1,1,0.3744076329277981
LBN,Lebanon,Double-high,Excess-only,Double-high -> Excess-only,2003,3,24,0.603,0.724,0.12,15860.247,7005.695,8854.553,8599.439,3987.178,4612.26,7260.809,3018.516,4242.292,2.035,0.776,0.249,0.908,2.016,-0.073,,3.728,residual compression lagged benchmark decline,Health resources +3.73; Household energy/HAP +2.03; Immunisation/UHC +2.02,HIV/TB -0.07,1,1,0.4791085444968256
TUR,Türkiye,Double-high,Excess-only,Double-high -> Excess-only,2021,5,12,0.555,0.731,0.176,18536.282,5079.972,13456.31,10477.447,3799.446,6678.001,8058.835,1280.526,6778.309,0.559,0.632,0.368,1.009,-0.691,0.189,,0.736,residual compression exceeded benchmark decline,WASH +1.01; Health resources +0.74; Ambient PM2.5 +0.63,Immunisation/UHC -0.69,1,1,0.5037271733484143
AGO,Angola,Double-high,Neither,Double-high -> Neither,2017,17,2,0.317,0.499,0.182,22006.284,6833.604,15172.681,18990.918,11275.779,7715.139,3015.366,-4442.175,7457.541,-1.153,-0.242,0.218,-0.35,-0.306,0.837,,-0.628,residual compression lagged benchmark decline,HIV/TB +0.84; Climate/transmission +0.22,Household energy/HAP -1.15; Health resources -0.63; WASH -0.35,1,1,0.4915110915467082
COG,Congo,Double-high,Neither,Double-high -> Neither,2021,21,10,0.455,0.578,0.123,17830.59,6931.404,10899.186,14387.92,8520.852,5867.068,3442.67,-1589.448,5032.118,0.71,0.751,-0.044,,-0.163,-0.199,,0.113,residual compression lagged benchmark decline,Ambient PM2.5 +0.75; Household energy/HAP +0.71; Health resources +0.11,HIV/TB -0.20; Immunisation/UHC -0.16; Climate/transmission -0.04,1,1,0.4616966808346972
GNQ,Equatorial Guinea,Double-high,Neither,Double-high -> Neither,2007,7,6,0.408,0.646,0.239,21797.694,5581.581,16216.113,16111.932,6239.931,9872.001,5685.762,-658.35,6344.112,1.629,0.62,-0.051,,0.443,0.355,,0.033,residual compression lagged benchmark decline,Household energy/HAP +1.63; Ambient PM2.5 +0.62; Immunisation/UHC +0.44,Climate/transmission -0.05,1,1,0.39122273013267733
GAB,Gabon,Double-high,Neither,Double-high -> Neither,2013,13,13,0.507,0.631,0.124,16460.533,6160.343,10300.19,12378.814,6726.76,5652.054,4081.719,-566.417,4648.136,1.556,0.566,-0.091,2.281,1.074,1.962,,1.225,residual compression lagged benchmark decline,WASH +2.28; HIV/TB +1.96; Household energy/HAP +1.56,Climate/transmission -0.09,1,1,0.45126701546282155
MAR,Morocco,Double-high,Neither,Double-high -> Neither,2010,10,5,0.432,0.612,0.18,18966.667,6339.836,12626.831,15239.414,7343.515,7895.899,3727.253,-1003.679,4730.932,0.514,0.571,0.163,0.125,0.11,0.127,,0.797,residual compression lagged benchmark decline,Health resources +0.80; Ambient PM2.5 +0.57; Household energy/HAP +0.51,,1,1,0.37467294842229215
PER,Peru,Double-high,Neither,Double-high -> Neither,2022,19,22,0.554,0.686,0.132,18230.079,5509.257,12720.822,10524.775,5040.225,5484.55,7705.304,469.032,7236.272,-0.595,-1.735,-0.057,0.082,0.738,-0.12,-0.38,-0.169,residual compression exceeded benchmark decline,Immunisation/UHC +0.74; WASH +0.08,Ambient PM2.5 -1.74; Household energy/HAP -0.60; Nutrition -0.38,1,1,0.5688525474218569
VNM,Viet Nam,Double-high,Neither,Double-high -> Neither,2011,9,11,0.498,0.643,0.145,18270.688,6907.004,11363.684,12742.914,6342.102,6400.811,5527.774,564.902,4962.873,-0.226,-0.458,-0.128,0.074,1.693,0.303,0.163,0.2,residual compression lagged benchmark decline,Immunisation/UHC +1.69; HIV/TB +0.30; Health resources +0.20,Ambient PM2.5 -0.46; Household energy/HAP -0.23; Climate/transmission -0.13,1,1,0.4367309932236764
