scenario_id,model_id,observed_rule,excess_rule,number_double_high,jaccard_with_primary,profile_contrast_preserved,high_observed_high_excess_iso3
sdi_poly2_year_fe__top25_observed__excess_rate_gt_0,sdi_poly2_year_fe,top25_observed,excess_rate_gt_0,15,0.5833333333333334,True,IND;KEN;KWT;LSO;MHL;MUS;NGA;NRU;PAK;PHL;PRK;SYC;TLS;TON;ZAF
sdi_poly2_year_fe__top20_observed__top33_excess_rate,sdi_poly2_year_fe,top20_observed,top33_excess_rate,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;NGA;NRU;PAK;SYC;TLS;TON;ZAF
sdi_poly2_year_fe__top20_observed__top25_excess_rate,sdi_poly2_year_fe,top20_observed,top25_excess_rate,10,0.4347826086956521,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TLS;TON;ZAF
sdi_poly2_year_fe__top20_observed__top20_excess_rate,sdi_poly2_year_fe,top20_observed,top20_excess_rate,10,0.4347826086956521,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TLS;TON;ZAF
sdi_poly2_year_fe__top20_observed__top33_log_excess_ratio,sdi_poly2_year_fe,top20_observed,top33_log_excess_ratio,9,0.391304347826087,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TON;ZAF
sdi_poly2_year_fe__top20_observed__top25_log_excess_ratio,sdi_poly2_year_fe,top20_observed,top25_log_excess_ratio,8,0.3478260869565217,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;ZAF
sdi_poly2_year_fe__top20_observed__ratio_gt_1_2,sdi_poly2_year_fe,top20_observed,ratio_gt_1_2,9,0.391304347826087,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TON;ZAF
sdi_poly2_year_fe__top20_observed__excess_rate_gt_0,sdi_poly2_year_fe,top20_observed,excess_rate_gt_0,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;NGA;NRU;PAK;SYC;TLS;TON;ZAF
sdi_poly3_year_fe__top33_observed__top33_excess_rate,sdi_poly3_year_fe,top33_observed,top33_excess_rate,23,1.0,True,BOL;EGY;FJI;GUM;IND;KEN;KWT;LBY;LSO;MHL;MUS;NAM;NGA;NIU;NRU;PAK;PHL;PSE;SYC;THA;TLS;TON;ZAF
sdi_poly3_year_fe__top33_observed__top25_excess_rate,sdi_poly3_year_fe,top33_observed,top25_excess_rate,19,0.8260869565217391,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NGA;NIU;NRU;PAK;PHL;SYC;THA;TLS;TON;ZAF
