iso3,location_name,n_scenarios,n_high_observed_high_excess,n_high_observed_not_high_excess,pct_high_observed_high_excess,pct_high_observed_not_high_excess
SYC,Seychelles,84,84,0,1.0,0.0
SYR,Syrian Arab Republic,84,0,28,0.0,0.3333333333333333
TCD,Chad,84,0,84,0.0,1.0
TGO,Togo,84,0,84,0.0,1.0
THA,Thailand,84,28,0,0.3333333333333333,0.0
TJK,Tajikistan,84,0,0,0.0,0.0
TKM,Turkmenistan,84,0,0,0.0,0.0
TLS,Timor-Leste,84,39,45,0.4642857142857143,0.5357142857142857
TON,Tonga,84,72,12,0.8571428571428571,0.1428571428571428
TTO,Trinidad and Tobago,84,0,0,0.0,0.0
TUN,Tunisia,84,0,0,0.0,0.0
TUR,Türkiye,84,0,0,0.0,0.0
TUV,Tuvalu,84,3,25,0.0357142857142857,0.2976190476190476
TWN,Taiwan,84,0,0,0.0,0.0
TZA,United Republic of Tanzania,84,0,84,0.0,1.0
UGA,Uganda,84,0,56,0.0,0.6666666666666666
UKR,Ukraine,84,0,0,0.0,0.0
URY,Uruguay,84,0,0,0.0,0.0
USA,United States of America,84,0,0,0.0,0.0
UZB,Uzbekistan,84,0,0,0.0,0.0
VCT,Saint Vincent and the Grenadines,84,0,0,0.0,0.0
VEN,Venezuela (Bolivarian Republic of),84,0,0,0.0,0.0
VIR,United States Virgin Islands,84,0,0,0.0,0.0
VNM,Viet Nam,84,0,0,0.0,0.0
VUT,Vanuatu,84,0,84,0.0,1.0
WSM,Samoa,84,3,25,0.0357142857142857,0.2976190476190476
YEM,Yemen,84,0,84,0.0,1.0
ZAF,South Africa,84,84,0,1.0,0.0
ZMB,Zambia,84,0,0,0.0,0.0
ZWE,Zimbabwe,84,0,84,0.0,1.0
