location_name,iso3,dominant_contextual_lag_domain,dominant_delta_z,has_positive_lag,number_of_positive_lag_domains,profile_2023,transition_pathway
Finland,FIN,Household energy/HAP,1.0635184250041971,True,3,Neither,Neither -> Neither
Fiji,FJI,Household energy/HAP,0.9012546510877476,True,6,Double-high,Neither -> Double-high
France,FRA,Household energy/HAP,1.003550907668746,True,3,Neither,Neither -> Neither
Micronesia (Federated States of),FSM,Immunisation/UHC,1.9705020969064189,True,5,Neither,Neither -> Neither
Gabon,GAB,WASH,2.2805386395865623,True,6,Neither,Double-high -> Neither
United Kingdom,GBR,Household energy/HAP,1.0484550374953219,True,3,Neither,Neither -> Neither
Georgia,GEO,Climate/transmission,0.2800942479020391,True,5,Excess-only,Neither -> Excess-only
Ghana,GHA,WASH,0.5513444093696138,True,3,Neither,Neither -> Neither
Guinea,GIN,Immunisation/UHC,0.5385748502308593,True,3,Structural high,Structural high -> Structural high
Gambia,GMB,Immunisation/UHC,1.2564860863064442,True,5,Structural high,Structural high -> Structural high
Guinea-Bissau,GNB,Climate/transmission,0.14604004797504266,True,3,Structural high,Structural high -> Structural high
Equatorial Guinea,GNQ,Household energy/HAP,1.6289985588019449,True,5,Neither,Double-high -> Neither
Greece,GRC,Health resources,0.408158302825238,True,3,Neither,Neither -> Neither
Grenada,GRD,Immunisation/UHC,1.104605729097876,True,6,Neither,Neither -> Neither
Greenland,GRL,HIV/TB,1.0810569485658608,True,3,Neither,Neither -> Neither
Guatemala,GTM,WASH,0.8914578476961675,True,7,Neither,Neither -> Neither
Guam,GUM,HIV/TB,0.1836519869548261,True,2,Double-high,Excess-only -> Double-high
Guyana,GUY,WASH,1.4356487484963885,True,6,Neither,Neither -> Neither
Honduras,HND,Immunisation/UHC,2.0326157636624465,True,2,Neither,Neither -> Neither
Croatia,HRV,WASH,0.38171170709000446,True,3,Excess-only,Neither -> Excess-only
Haiti,HTI,Immunisation/UHC,0.5346858203620669,True,4,Structural high,Double-high -> Structural high
Hungary,HUN,Immunisation/UHC,0.7566262662498313,True,3,Excess-only,Neither -> Excess-only
Indonesia,IDN,HIV/TB,0.1316327298864053,True,1,Excess-only,Excess-only -> Excess-only
India,IND,Ambient PM2.5,1.229182247133812,True,3,Double-high,Double-high -> Double-high
Ireland,IRL,Household energy/HAP,1.0097916406171783,True,1,Neither,Neither -> Neither
Iran (Islamic Republic of),IRN,Ambient PM2.5,1.4923050043134425,True,4,Neither,Neither -> Neither
Iraq,IRQ,Household energy/HAP,0.9452529814287159,True,5,Excess-only,Double-high -> Excess-only
Iceland,ISL,Household energy/HAP,0.9458063718150753,True,4,Neither,Neither -> Neither
