location_name,iso3,year,domain,adverse_z,peer_reference,indicator_group,profile_2023,marked_adverse_z_gt_0_5
Lao People's Democratic Republic,LAO,2023,Health resources,0.4228990452479064,same-year SDI-quintile peers,Health resources,Structural high,False
Malaysia,MYS,2023,Household energy/HAP,0.1407015663279773,same-year SDI-quintile peers,Household energy/HAP,Excess-only,False
Malaysia,MYS,2023,Ambient PM2.5,-0.0062936177651863,same-year SDI-quintile peers,Ambient PM2.5,Excess-only,False
Malaysia,MYS,2023,Climate/transmission,1.4226663201037075,same-year SDI-quintile peers,Climate/transmission,Excess-only,True
Malaysia,MYS,2023,WASH,0.3156786047384651,same-year SDI-quintile peers,WASH,Excess-only,False
Malaysia,MYS,2023,Immunisation/UHC,-0.2793640198753435,same-year SDI-quintile peers,Immunisation/UHC,Excess-only,False
Malaysia,MYS,2023,HIV/TB,1.5179330416109225,same-year SDI-quintile peers,HIV/TB,Excess-only,True
Malaysia,MYS,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Excess-only,False
Malaysia,MYS,2023,Health resources,1.0391445335378122,same-year SDI-quintile peers,Health resources,Excess-only,True
Maldives,MDV,2023,Household energy/HAP,-0.8762908858422638,same-year SDI-quintile peers,Household energy/HAP,Neither,False
Maldives,MDV,2023,Ambient PM2.5,-1.053377874762688,same-year SDI-quintile peers,Ambient PM2.5,Neither,False
Maldives,MDV,2023,Climate/transmission,0.8915833502037579,same-year SDI-quintile peers,Climate/transmission,Neither,True
Maldives,MDV,2023,WASH,-0.9444488787316364,same-year SDI-quintile peers,WASH,Neither,False
Maldives,MDV,2023,Immunisation/UHC,-0.3380835676693841,same-year SDI-quintile peers,Immunisation/UHC,Neither,False
Maldives,MDV,2023,HIV/TB,-0.6402778241063403,same-year SDI-quintile peers,HIV/TB,Neither,False
Maldives,MDV,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Neither,False
Maldives,MDV,2023,Health resources,-3.488806812312619,same-year SDI-quintile peers,Health resources,Neither,False
Myanmar,MMR,2023,Household energy/HAP,0.1926163731674039,same-year SDI-quintile peers,Household energy/HAP,Structural high,False
Myanmar,MMR,2023,Ambient PM2.5,1.0669653280420872,same-year SDI-quintile peers,Ambient PM2.5,Structural high,True
Myanmar,MMR,2023,Climate/transmission,0.2963130566150414,same-year SDI-quintile peers,Climate/transmission,Structural high,False
Myanmar,MMR,2023,WASH,0.1908913615620958,same-year SDI-quintile peers,WASH,Structural high,False
Myanmar,MMR,2023,Immunisation/UHC,0.8472599851954686,same-year SDI-quintile peers,Immunisation/UHC,Structural high,True
Myanmar,MMR,2023,HIV/TB,0.3574691179218044,same-year SDI-quintile peers,HIV/TB,Structural high,False
Myanmar,MMR,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Structural high,False
Myanmar,MMR,2023,Health resources,0.6164231419640924,same-year SDI-quintile peers,Health resources,Structural high,True
Philippines,PHL,2023,Household energy/HAP,0.9274710126128384,same-year SDI-quintile peers,Household energy/HAP,Double-high,True
Philippines,PHL,2023,Ambient PM2.5,-0.2042001845992984,same-year SDI-quintile peers,Ambient PM2.5,Double-high,False
Philippines,PHL,2023,Climate/transmission,0.8389224171345265,same-year SDI-quintile peers,Climate/transmission,Double-high,True
Philippines,PHL,2023,WASH,0.0949306013086424,same-year SDI-quintile peers,WASH,Double-high,False
Philippines,PHL,2023,Immunisation/UHC,-0.3972776751525488,same-year SDI-quintile peers,Immunisation/UHC,Double-high,False
Philippines,PHL,2023,HIV/TB,1.077378033990093,same-year SDI-quintile peers,HIV/TB,Double-high,True
Philippines,PHL,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Double-high,False
Philippines,PHL,2023,Health resources,0.6352294704792737,same-year SDI-quintile peers,Health resources,Double-high,True
Sri Lanka,LKA,2023,Household energy/HAP,3.966837318674613,same-year SDI-quintile peers,Household energy/HAP,Excess-only,True
Sri Lanka,LKA,2023,Ambient PM2.5,0.4121110908013509,same-year SDI-quintile peers,Ambient PM2.5,Excess-only,False
Sri Lanka,LKA,2023,Climate/transmission,1.3384499954855114,same-year SDI-quintile peers,Climate/transmission,Excess-only,True
Sri Lanka,LKA,2023,WASH,2.09037179888355,same-year SDI-quintile peers,WASH,Excess-only,True
Sri Lanka,LKA,2023,Immunisation/UHC,0.5621207121679912,same-year SDI-quintile peers,Immunisation/UHC,Excess-only,True
Sri Lanka,LKA,2023,HIV/TB,0.3717447951051215,same-year SDI-quintile peers,HIV/TB,Excess-only,False
Sri Lanka,LKA,2023,Nutrition,1.7282513269359867,same-year SDI-quintile peers,Nutrition,Excess-only,True
