threshold_label,high_quantile,low_sdi_quantile,u5_lri_high_threshold,hap_high_threshold,apm_high_threshold,tavg_high_threshold,high_rh_threshold,low_rh_threshold,sdi_low_threshold,n_locations,n_strict_priority,n_priority_score_ge4,mean_u5_strict_priority,mean_u5_non_strict_priority,mean_hap_strict_priority,mean_sdi_strict_priority,strict_priority_iso3,strict_priority_overlap_with_P67,strict_priority_jaccard_with_P67,P67_locations_retained
P60,0.6,0.4,6793.460251811495,83.89759486981772,20.20301877486956,25.322577795270167,320.5738714072629,5.898496938256325,0.6455988448,203,60,68,9784.098847518972,4131.802047715186,236.9399353547302,0.4654786799666667,AFG;AGO;BDI;BEN;BFA;BGD;BOL;CAF;CIV;CMR;COD;COG;COM;DJI;ERI;ETH;GIN;GMB;GNB;HTI;IND;KEN;KHM;KIR;LAO;LBR;LSO;MHL;MLI;MMR;MOZ;MRT;NER;NGA;NPL;NRU;PAK;PNG;PRK;PSE;RWA;SDN;SEN;SLB;SLE;SOM;SSD;SYR;TCD;TGO;TLS;TON;TUV;TZA;UGA;VNM;VUT;WSM;YEM;ZWE,46,0.7666666666666667,1.0
P67,0.6666666666666666,0.3333333333333333,7330.71695103106,120.97063653675372,22.608440733852323,26.10733438470005,345.24305914415675,14.267666585631588,0.6073680536666667,203,46,52,10392.226519251672,4457.650979546706,253.39866449760777,0.4427890702391304,AFG;BDI;BEN;BGD;CAF;CMR;COD;COM;DJI;ERI;ETH;GIN;GMB;GNB;HTI;KEN;KHM;KIR;LAO;LBR;LSO;MHL;MLI;MMR;MRT;NER;NGA;NPL;PAK;PNG;RWA;SDN;SLB;SLE;SOM;SSD;SYR;TCD;TGO;TLS;TZA;UGA;VUT;WSM;YEM;ZWE,46,1.0,1.0
P75,0.75,0.25,8270.804452964945,179.11441674488674,29.0697390270408,26.798105115887367,359.2702137060068,35.9890713294833,0.5338585945000001,203,26,32,10739.98629565327,5077.141129872457,284.9442540043032,0.3977717379615385,AFG;BDI;BEN;CAF;COD;COM;ERI;ETH;GIN;GMB;GNB;HTI;KHM;LSO;NER;NPL;PNG;RWA;SLB;SOM;SSD;TCD;TGO;UGA;YEM;ZWE,26,0.5652173913043478,0.5652173913043478
P80,0.8,0.1999999999999999,8760.138668908314,220.40954393277477,32.19724133521521,26.970711234890818,361.8264794202429,49.509905517064986,0.5072695866,203,18,26,11090.537089991449,5287.913275970615,299.1791898389159,0.380633496,AFG;BDI;CAF;COD;COM;ERI;ETH;HTI;NER;PNG;RWA;SLB;SOM;SSD;TCD;TGO;YEM;ZWE,18,0.391304347826087,0.391304347826087
