location_name,iso3,domain,adverse_z_2000,adverse_z_2023,delta_adverse_z,catchup_or_lag,profile_2000,profile_2023,transition_pathway
Angola,AGO,WASH,0.6384863611250376,0.2880847704072976,-0.3504015907177401,catch-up,Double-high,Neither,Double-high -> Neither
Antigua and Barbuda,ATG,Ambient PM2.5,-0.7655389238326843,-0.4634812056143979,0.3020577182182864,lag,Neither,Excess-only,Neither -> Excess-only
Antigua and Barbuda,ATG,Climate/transmission,1.041424261272897,1.3565919155187636,0.31516765424586657,lag,Neither,Excess-only,Neither -> Excess-only
Antigua and Barbuda,ATG,HIV/TB,0.502472988976411,1.0474887314678951,0.5450157424914841,lag,Neither,Excess-only,Neither -> Excess-only
Antigua and Barbuda,ATG,Health resources,-1.0918162910062816,0.7913333857410966,1.883149676747378,lag,Neither,Excess-only,Neither -> Excess-only
Antigua and Barbuda,ATG,Household energy/HAP,-0.9208910749526124,-0.6214822749137594,0.29940880003885295,lag,Neither,Excess-only,Neither -> Excess-only
Antigua and Barbuda,ATG,Immunisation/UHC,-0.2532951028382573,0.2382044029290794,0.4914995057673367,lag,Neither,Excess-only,Neither -> Excess-only
Antigua and Barbuda,ATG,WASH,-0.0599639367937357,-0.2571493519970945,-0.1971854152033588,catch-up,Neither,Excess-only,Neither -> Excess-only
Argentina,ARG,Ambient PM2.5,-0.2774165400474885,-0.0994888967951774,0.17792764325231109,lag,Neither,Neither,Neither -> Neither
Argentina,ARG,Climate/transmission,-0.3750751718143725,-0.5177521201944013,-0.1426769483800288,catch-up,Neither,Neither,Neither -> Neither
Argentina,ARG,HIV/TB,0.1182857653874592,0.5501698412961558,0.43188407590869654,lag,Neither,Neither,Neither -> Neither
Argentina,ARG,Health resources,-1.9021396515985087,0.048958882825009,1.9510985344235177,lag,Neither,Neither,Neither -> Neither
Argentina,ARG,Household energy/HAP,-0.6184937560495996,-0.4062049748841977,0.21228878116540184,lag,Neither,Neither,Neither -> Neither
Argentina,ARG,Immunisation/UHC,-0.0879895020100459,1.2624517537755588,1.3504412557856047,lag,Neither,Neither,Neither -> Neither
Argentina,ARG,WASH,-0.0001333118631731,,,stable,Neither,Neither,Neither -> Neither
Armenia,ARM,Ambient PM2.5,0.3445914303718822,1.0631292809940875,0.7185378506222053,lag,Neither,Neither,Neither -> Neither
Armenia,ARM,Climate/transmission,-1.594985167527377,-1.7037098489987077,-0.10872468147133074,catch-up,Neither,Neither,Neither -> Neither
Armenia,ARM,HIV/TB,-0.239778111380358,-0.4318791995962517,-0.1921010882158937,catch-up,Neither,Neither,Neither -> Neither
Armenia,ARM,Health resources,-0.1771213955011286,-0.5077070925020785,-0.33058569700094986,catch-up,Neither,Neither,Neither -> Neither
Armenia,ARM,Household energy/HAP,0.5258507411702578,-0.2085349485328547,-0.7343856897031125,catch-up,Neither,Neither,Neither -> Neither
Armenia,ARM,Immunisation/UHC,0.3479754206029821,-0.2358796401994824,-0.5838550608024645,catch-up,Neither,Neither,Neither -> Neither
Armenia,ARM,Nutrition,-0.5468540192869727,,,stable,Neither,Neither,Neither -> Neither
Armenia,ARM,WASH,-0.8308354341880232,-0.7002220800606016,0.1306133541274216,lag,Neither,Neither,Neither -> Neither
Australia,AUS,Ambient PM2.5,-0.7503781117225612,-0.5863185418261173,0.16405956989644388,lag,Neither,Neither,Neither -> Neither
Australia,AUS,Climate/transmission,-0.1585833713072095,-0.1232853040117352,0.035298067295474314,lag,Neither,Neither,Neither -> Neither
Australia,AUS,HIV/TB,-0.4220476216634197,-0.6317879233210002,-0.2097403016575805,catch-up,Neither,Neither,Neither -> Neither
Australia,AUS,Health resources,-0.1884540614161947,-1.4334544213491656,-1.2450003599329709,catch-up,Neither,Neither,Neither -> Neither
Australia,AUS,Household energy/HAP,-0.7549382750150143,0.118127746636918,0.8730660216519324,lag,Neither,Neither,Neither -> Neither
Australia,AUS,Immunisation/UHC,-0.48536072168752,-0.6319940547034666,-0.1466333330159466,catch-up,Neither,Neither,Neither -> Neither
Australia,AUS,WASH,-0.3958331924720639,-0.5275889232634683,-0.1317557307914044,catch-up,Neither,Neither,Neither -> Neither
Austria,AUT,Ambient PM2.5,0.1097199236207692,-0.3641955461706478,-0.473915469791417,catch-up,Neither,Neither,Neither -> Neither
