Location,ISO3,Profile 2000,Profile 2023,Transition pathway,Delta adverse z: Household energy/HAP,Delta adverse z: Ambient PM2.5,Delta adverse z: Climate/transmission,Delta adverse z: WASH,Delta adverse z: Immunisation/UHC,Delta adverse z: HIV/TB,Delta adverse z: Nutrition,Delta adverse z: Health resources,Dominant contextual lag domain,Dominant delta adverse z,Number of positive lag domains
United Arab Emirates,ARE,Excess-only,Excess-only,Excess-only -> Excess-only,-0.9144970549624245,0.4190898719787457,0.1793233031233159,-0.18645683297239357,-0.4562359586417858,-0.32768262576393314,,-0.7675419018897573,Ambient PM2.5,0.4190898719787457,2
United States Virgin Islands,VIR,Neither,Excess-only,Neither -> Excess-only,-0.1976494249709818,0.09044303197371095,0.08586794779850448,-0.6602981262675524,,,,,Ambient PM2.5,0.09044303197371095,2
Albania,ALB,Neither,Neither,Neither -> Neither,-0.9109397923409273,-0.16996562775855356,-0.07789703787410385,-0.0595021538892177,-0.61223953343924,-0.03267990435127538,,-0.21795992985503249,No positive contextual lag,0.0,0
Algeria,DZA,Excess-only,Neither,Excess-only -> Neither,1.759784128916844,0.3249472402778921,0.3849177885915688,1.9173372463235756,0.26379988323363335,-0.001494477273405681,,0.5501403508114612,WASH,1.9173372463235756,6
Andorra,AND,Neither,Neither,Neither -> Neither,-0.9144970549624245,-0.21667505561958797,-0.2266867353485995,0.007419820212234529,-0.1513648353763593,-0.26663578405428373,,-0.7889714914008843,WASH,0.007419820212234529,1
Angola,AGO,Double-high,Neither,Double-high -> Neither,-1.1530388258410187,-0.24155380990365738,0.21762397683867474,-0.3504015907177401,-0.3060568996201467,0.8365861384231491,,-0.6277386619451654,HIV/TB,0.8365861384231491,2
Argentina,ARG,Neither,Neither,Neither -> Neither,0.21228878116540184,0.17792764325231109,-0.1426769483800288,,1.3504412557856047,0.43188407590869654,,1.9510985344235177,Health resources,1.9510985344235177,5
Armenia,ARM,Neither,Neither,Neither -> Neither,-0.7343856897031125,0.7185378506222053,-0.10872468147133074,0.1306133541274216,-0.5838550608024645,-0.1921010882158937,,-0.33058569700094986,Ambient PM2.5,0.7185378506222053,2
Australia,AUS,Neither,Neither,Neither -> Neither,0.8730660216519324,0.16405956989644388,0.035298067295474314,-0.1317557307914044,-0.1466333330159466,-0.2097403016575805,,-1.2450003599329709,Household energy/HAP,0.8730660216519324,3
Austria,AUT,Neither,Neither,Neither -> Neither,0.7726100995493268,-0.473915469791417,-0.09920293409373604,0.01007924128817983,-0.5408965750359453,-0.31530844583129447,,-0.8051253891031104,Household energy/HAP,0.7726100995493268,2
