file_name,variable_name,description,unit,allowed_values,missing_value_code
Table_S8_age_boundary_sensitivity.csv,age_label,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,age_role,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,n_high_observed,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,n_high_observed_high_excess,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,share_high_observed_also_high_excess,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,country_heldout_spearman,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,time_heldout_spearman,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,structural_n,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,structural_hap_pm_mean,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,structural_sdi_mean,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,high_excess_other_n,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,high_excess_other_hap_pm_mean,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,high_excess_other_sdi_mean,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,age_group_b,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,overlap_with_under5_double_high,Variable from source table,,,blank/NA
Table_S8_age_boundary_sensitivity.csv,jaccard_with_under5,Variable from source table,,,blank/NA
Table_S9_wls_smearing_small_population_and_fixed_threshold_summary.csv,Robustness check,Variable from source table,,,blank/NA
Table_S9_wls_smearing_small_population_and_fixed_threshold_summary.csv,Specification,Variable from source table,,,blank/NA
Table_S9_wls_smearing_small_population_and_fixed_threshold_summary.csv,Primary statistic,Variable from source table,,,blank/NA
Table_S9_wls_smearing_small_population_and_fixed_threshold_summary.csv,Secondary statistic 1,Variable from source table,,,blank/NA
Table_S9_wls_smearing_small_population_and_fixed_threshold_summary.csv,Secondary statistic 2,Variable from source table,,,blank/NA
Table_S9_wls_smearing_small_population_and_fixed_threshold_summary.csv,Secondary statistic 3,Variable from source table,,,blank/NA
Table_S9_wls_smearing_small_population_and_fixed_threshold_summary.csv,Notes,Variable from source table,,,blank/NA
